"Index","mkt","smb","hml","rf"
1996-11-30,0.0625,-0.0391,0.0121,0.0041
1996-12-31,-0.017,0.0321,0.0086,0.0046
1997-01-31,0.0499,-0.0184,-0.0165,0.0045
1997-02-28,-0.0049,-0.029,0.0518,0.0039
1997-03-31,-0.0503,-0.0038,0.0378,0.0043
1997-04-30,0.0404,-0.0564,-7e-04,0.0043
1997-05-31,0.0674,0.0492,-0.0391,0.0049
1997-06-30,0.041,0.0135,0.0121,0.0037
1997-07-31,0.0733,-0.0279,0.0085,0.0043
1997-08-31,-0.0415,0.0729,0.0137,0.0041
1997-09-30,0.0535,0.0261,1e-04,0.0044
1997-10-31,-0.038,-0.0066,0.0194,0.0042
1997-11-30,0.0298,-0.0496,0.0077,0.0039
1997-12-31,0.0132,-0.0232,0.0345,0.0048
1998-01-31,0.0015,-0.0116,-0.0143,0.0043
1998-02-28,0.0703,1e-04,-0.0015,0.0039
1998-03-31,0.0476,-0.0093,0.0103,0.0039
1998-04-30,0.0073,0.0022,0.0078,0.0043
1998-05-31,-0.0307,-0.0375,0.0415,0.004
1998-06-30,0.0318,-0.0314,-0.0234,0.0041
1998-07-31,-0.0246,-0.0513,-0.0098,0.004
1998-08-31,-0.1608,-0.053,0.0339,0.0043
1998-09-30,0.0615,-0.0014,-0.0326,0.0046
1998-10-31,0.0713,-0.033,-0.022,0.0032
1998-11-30,0.061,0.0106,-0.0313,0.0031
1998-12-31,0.0616,-0.0034,-0.0445,0.0038
1999-01-31,0.035,0.0037,-0.0403,0.0035
1999-02-28,-0.0408,-0.0564,0.0137,0.0035
1999-03-31,0.0345,-0.0393,-0.0265,0.0043
1999-04-30,0.0433,0.0396,0.0254,0.0037
1999-05-31,-0.0246,0.0346,0.0233,0.0034
1999-06-30,0.0477,0.0304,-0.0358,0.004
1999-07-31,-0.0347,0.0266,-0.008,0.0038
1999-08-31,-0.0138,-0.0135,-0.0127,0.0039
1999-09-30,-0.0281,0.0333,-0.0337,0.0039
1999-10-31,0.0613,-0.0687,-0.0297,0.0039
1999-11-30,0.0337,0.074,-0.0651,0.0036
1999-12-31,0.0772,0.0715,-0.0869,0.0044
2000-01-31,-0.0474,0.0501,-0.0045,0.0041
2000-02-29,0.0245,0.2208,-0.1049,0.0043
2000-03-31,0.052,-0.1717,0.0786,0.0047
2000-04-30,-0.064,-0.0777,0.0857,0.0046
2000-05-31,-0.0442,-0.0494,0.0239,0.005
2000-06-30,0.0464,0.1395,-0.1003,0.004
2000-07-31,-0.0251,-0.0278,0.0815,0.0048
2000-08-31,0.0703,-0.0111,-0.0069,0.005
2000-09-30,-0.0545,-0.014,0.0623,0.0051
2000-10-31,-0.0276,-0.0377,0.0555,0.0056
2000-11-30,-0.1072,-0.0277,0.1129,0.0051
2000-12-31,0.0119,0.0096,0.073,0.005
2001-01-31,0.0313,0.0656,-0.0488,0.0054
2001-02-28,-0.1005,-0.0072,0.1291,0.0038
2001-03-31,-0.0726,0.0039,0.0649,0.0042
2001-04-30,0.0794,0.005,-0.0469,0.0039
2001-05-31,0.0072,0.026,0.0313,0.0032
2001-06-30,-0.0194,0.0603,-0.0109,0.0028
2001-07-31,-0.0213,-0.0435,0.0561,0.003
2001-08-31,-0.0646,0.025,0.0256,0.0031
2001-09-30,-0.0925,-0.0611,0.0156,0.0028
2001-10-31,0.0246,0.0756,-0.0802,0.0022
2001-11-30,0.0754,-0.004,0.02,0.0017
2001-12-31,0.0161,0.0456,0.0108,0.0015
2002-01-31,-0.0144,0.0119,0.0335,0.0014
2002-02-28,-0.0229,-0.0114,0.0251,0.0013
2002-03-31,0.0424,0.0426,0.0111,0.0013
2002-04-30,-0.052,0.0594,0.0392,0.0015
2002-05-31,-0.0138,-0.0322,0.017,0.0014
2002-06-30,-0.0721,0.0426,0.0012,0.0013
2002-07-31,-0.0818,-0.0537,-0.0352,0.0015
2002-08-31,0.005,-0.0243,0.0253,0.0014
2002-09-30,-0.1035,0.0255,0.0126,0.0014
2002-10-31,0.0784,-0.0286,-0.054,0.0014
2002-11-30,0.0596,0.0295,-0.0095,0.0012
2002-12-31,-0.0576,0,0.0221,0.0011
2003-01-31,-0.0257,0.0144,-0.0083,0.001
2003-02-28,-0.0188,-0.0035,-0.0147,9e-04
2003-03-31,0.0109,0.01,-0.0193,0.001
2003-04-30,0.0822,0.0061,0.0111,0.001
2003-05-31,0.0605,0.0484,-0.001,9e-04
2003-06-30,0.0142,0.016,0.0057,0.001
2003-07-31,0.0235,0.0534,-0.0102,7e-04
2003-08-31,0.0234,0.0265,0.021,7e-04
2003-09-30,-0.0124,0.0081,1e-04,8e-04
2003-10-31,0.0608,0.0281,0.0193,7e-04
2003-11-30,0.0135,0.0216,0.0196,7e-04
2003-12-31,0.0429,-0.0305,0.0235,8e-04
2004-01-31,0.0215,0.0274,0.0196,7e-04
2004-02-29,0.014,-0.0143,0.0048,6e-04
2004-03-31,-0.0132,0.0177,0.0025,9e-04
2004-04-30,-0.0183,-0.0212,-0.0262,8e-04
2004-05-31,0.0117,-0.0019,-0.0035,6e-04
2004-06-30,0.0186,0.0223,0.0135,8e-04
2004-07-31,-0.0406,-0.038,0.0409,0.001
2004-08-31,8e-04,-0.0159,0.0096,0.0011
2004-09-30,0.016,0.0305,-0.0024,0.0011
2004-10-31,0.0143,0.0033,-0.0056,0.0011
2004-11-30,0.0454,0.039,0.0181,0.0015
2004-12-31,0.0343,0.0016,-4e-04,0.0016
2005-01-31,-0.0276,-0.0153,0.0195,0.0016
2005-02-28,0.0189,-0.0049,0.0165,0.0016
2005-03-31,-0.0197,-0.0142,0.0154,0.0021
2005-04-30,-0.0261,-0.04,-0.0035,0.0021
2005-05-31,0.0365,0.0287,-0.0081,0.0024
2005-06-30,0.0057,0.0259,0.0269,0.0023
2005-07-31,0.0392,0.0289,-0.0054,0.0024
2005-08-31,-0.0122,-0.0093,0.0127,0.003
2005-09-30,0.0049,-0.0058,0.0076,0.0029
2005-10-31,-0.0202,-0.0121,0.0025,0.0027
2005-11-30,0.0361,0.0089,-0.0119,0.0031
2005-12-31,-0.0025,-0.0049,0.004,0.0032
2006-01-31,0.0304,0.0543,0.0112,0.0035
2006-02-28,-0.003,-0.0038,-0.0025,0.0034
2006-03-31,0.0146,0.0351,0.0051,0.0037
2006-04-30,0.0073,-0.0134,0.0261,0.0036
2006-05-31,-0.0357,-0.0303,0.0257,0.0043
2006-06-30,-0.0035,-0.0038,0.0086,0.004
2006-07-31,-0.0078,-0.0407,0.0292,0.004
2006-08-31,0.0203,0.0092,-0.0172,0.0042
2006-09-30,0.0184,-0.0136,3e-04,0.0041
2006-10-31,0.0323,0.0175,-5e-04,0.0041
2006-11-30,0.0171,0.0086,4e-04,0.0042
2006-12-31,0.0087,-0.011,0.0316,0.004
2007-01-31,0.014,0.001,-0.0013,0.0044
2007-02-28,-0.0196,0.0132,-0.001,0.0038
2007-03-31,0.0068,-6e-04,-0.0023,0.0043
2007-04-30,0.0349,-0.0207,-0.0115,0.0044
2007-05-31,0.0324,-1e-04,-7e-04,0.0041
2007-06-30,-0.0196,0.0079,-0.0111,0.004
2007-07-31,-0.0373,-0.025,-0.0334,0.004
2007-08-31,0.0092,-0.001,-0.0225,0.0042
2007-09-30,0.0322,-0.0228,-0.0191,0.0032
2007-10-31,0.018,0.0022,-0.0262,0.0032
2007-11-30,-0.0483,-0.0261,-0.0118,0.0034
2007-12-31,-0.0087,0.0019,-0.0044,0.0027
2008-01-31,-0.0636,-0.0087,0.0369,0.0021
2008-02-29,-0.0309,-0.0021,-0.0088,0.0013
2008-03-31,-0.0093,0.0091,-0.0018,0.0017
2008-04-30,0.046,-0.0165,-0.0099,0.0018
2008-05-31,0.0186,0.0315,-0.0149,0.0018
2008-06-30,-0.0844,0.0132,-0.0247,0.0017
2008-07-31,-0.0077,0.0244,0.0589,0.0015
2008-08-31,0.0153,0.0361,0.0157,0.0013
2008-09-30,-0.0924,-0.0111,0.0626,0.0015
2008-10-31,-0.1723,-0.0225,-0.0275,8e-04
2008-11-30,-0.0786,-0.0301,-0.0585,3e-04
2008-12-31,0.0174,0.0362,-0.0021,0
2009-01-31,-0.0812,0.001,-0.1125,0
2009-02-28,-0.101,0.0015,-0.0727,1e-04
2009-03-31,0.0895,-0.001,0.0362,2e-04
2009-04-30,0.1019,0.0474,0.0544,1e-04
2009-05-31,0.0521,-0.0235,-0.0014,0
2009-06-30,0.0043,0.026,-0.0266,1e-04
2009-07-31,0.0772,0.0205,0.0522,1e-04
2009-08-31,0.0333,-0.0081,0.0785,1e-04
2009-09-30,0.0408,0.0249,0.0097,1e-04
2009-10-31,-0.0259,-0.0429,-0.0426,0
2009-11-30,0.0556,-0.0248,-0.0012,0
2009-12-31,0.0275,0.0611,0,1e-04
2010-01-31,-0.0336,0.0037,0.003,0
2010-02-28,0.034,0.0119,0.0318,0
2010-03-31,0.0631,0.0149,0.0215,1e-04
2010-04-30,0.02,0.0499,0.0283,1e-04
2010-05-31,-0.0789,0,-0.0241,1e-04
2010-06-30,-0.0556,-0.0201,-0.0452,1e-04
2010-07-31,0.0693,0.0021,-0.0021,1e-04
2010-08-31,-0.0477,-0.0299,-0.0196,1e-04
2010-09-30,0.0954,0.0392,-0.0312,1e-04
2010-10-31,0.0388,0.0114,-0.0252,1e-04
2010-11-30,0.006,0.0368,-0.0091,1e-04
2010-12-31,0.0682,0.0068,0.0378,1e-04
2011-01-31,0.0199,-0.0248,0.0082,1e-04
2011-02-28,0.0349,0.0153,0.011,1e-04
2011-03-31,0.0045,0.0258,-0.0157,1e-04
2011-04-30,0.029,-0.0031,-0.0253,0
2011-05-31,-0.0127,-0.0072,-0.0209,0
2011-06-30,-0.0175,-0.002,-0.0033,0
2011-07-31,-0.0236,-0.0134,-0.0116,0
2011-08-31,-0.0599,-0.0303,-0.024,1e-04
2011-09-30,-0.0759,-0.0354,-0.0137,0
2011-10-31,0.1135,0.0344,-0.0022,0
2011-11-30,-0.0028,-0.0018,-0.0042,0
2011-12-31,0.0074,-0.0067,0.0171,0
2012-01-31,0.0505,0.0215,-0.0111,0
2012-02-29,0.0442,-0.0172,0.0011,0
2012-03-31,0.0311,-0.0063,0.0089,0
2012-04-30,-0.0085,-0.0054,-0.0046,0
2012-05-31,-0.0619,0,-0.0052,1e-04
2012-06-30,0.0389,0.0079,0.0041,0
2012-07-31,0.0079,-0.026,-0.0025,0
2012-08-31,0.0255,0.0039,0.0134,1e-04
2012-09-30,0.0273,0.0048,0.0157,1e-04
2012-10-31,-0.0176,-0.0109,0.0364,1e-04
2012-11-30,0.0078,0.0054,-0.0081,1e-04
2012-12-31,0.0118,0.0149,0.0352,1e-04
2013-01-31,0.0557,0.0044,0.0095,0
2013-02-28,0.0129,-0.0043,0.0011,0
2013-03-31,0.0403,0.0084,-0.0026,0
2013-04-30,0.0155,-0.0243,0.0057,0
2013-05-31,0.028,0.0169,0.0249,0
2013-06-30,-0.012,0.0117,-0.0013,0
2013-07-31,0.0565,0.0188,0.0061,0
2013-08-31,-0.0271,0.0025,-0.0277,0
2013-09-30,0.0377,0.0294,-0.012,0
2013-10-31,0.0418,-0.0152,0.011,0
2013-11-30,0.0312,0.0125,0.0026,0
2013-12-31,0.0281,-0.0048,-0.0031,0
2014-01-31,-0.0332,0.0087,-0.0213,0
2014-02-28,0.0465,0.0034,-0.0037,0
2014-03-31,0.0043,-0.0185,0.0503,0
2014-04-30,-0.0019,-0.0419,0.011,0
2014-05-31,0.0206,-0.0185,-0.0036,0
2014-06-30,0.0261,0.0301,-0.0066,0
2014-07-31,-0.0204,-0.0422,-2e-04,0
2014-08-31,0.0424,0.004,-0.0055,0
2014-09-30,-0.0197,-0.038,-0.0119,0
2014-10-31,0.0252,0.0428,-0.0168,0
2014-11-30,0.0255,-0.0205,-0.0298,0
2014-12-31,-6e-04,0.0259,0.0212,0
2015-01-31,-0.0311,-0.0051,-0.0347,0
2015-02-28,0.0613,0.0051,-0.0173,0
2015-03-31,-0.0112,0.0307,-0.0045,0
2015-04-30,0.0059,-0.0301,0.0184,0
2015-05-31,0.0136,0.009,-0.0132,0
2015-06-30,-0.0153,0.0285,-0.008,0
2015-07-31,0.0154,-0.0407,-0.0421,0
2015-08-31,-0.0604,0.0052,0.0271,0
2015-09-30,-0.0308,-0.0261,0.0058,0
2015-10-31,0.0775,-0.0193,-0.0011,0
2015-11-30,0.0056,0.0362,-0.0057,0
2015-12-31,-0.0217,-0.0281,-0.0246,1e-04
2016-01-31,-0.0577,-0.0336,0.0226,1e-04
2016-02-29,-7e-04,0.0083,-0.0048,2e-04
2016-03-31,0.0696,0.0086,0.0111,2e-04
2016-04-30,0.0092,0.0068,0.0325,1e-04
2016-05-31,0.0178,-0.0027,-0.0179,1e-04
2016-06-30,-5e-04,0.0061,-0.0149,2e-04
2016-07-31,0.0395,0.029,-0.0098,2e-04
2016-08-31,0.005,0.0094,0.0318,2e-04
2016-09-30,0.0025,0.02,-0.0134,2e-04
2016-10-31,-0.0202,-0.044,0.0415,2e-04
2016-11-30,0.0486,0.0569,0.0844,1e-04
